City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
145,Recodo,PH,2022-07-28 19:33:18,6.9519,121.9636,77.31,86,100,1.99,overcast clouds,0,0
146,Pevek,RU,2022-07-28 19:33:19,69.7008,170.3133,39.61,78,94,2.46,overcast clouds,0,0
147,Thompson,CA,2022-07-28 19:33:20,55.7435,-97.8558,73.56,38,20,8.05,few clouds,0,0
148,Hofn,IS,2022-07-28 19:33:22,64.2539,-15.2082,51.44,93,100,1.74,overcast clouds,0,0
149,Santa Fe,AR,2022-07-28 19:28:44,-31.6333,-60.7,66.0,34,0,11.01,light rain,0,0
150,Yulara,AU,2022-07-28 19:33:23,-25.2406,130.9889,47.59,34,89,9.66,overcast clouds,0,0
151,Vera Cruz,BR,2022-07-28 19:33:23,-12.6333,-41.0333,72.97,57,90,4.99,overcast clouds,0,0
152,Zeya,RU,2022-07-28 19:33:24,53.75,127.2667,66.0,99,100,2.28,light rain,0,0
153,Shingu,JP,2022-07-28 19:32:21,33.7333,135.9833,76.17,92,68,4.68,broken clouds,0,0
154,Yar-Sale,RU,2022-07-28 19:33:25,66.8333,70.8333,62.08,63,96,5.64,overcast clouds,0,0
155,Honningsvag,NO,2022-07-28 19:33:25,70.9821,25.9704,49.75,81,75,8.05,broken clouds,0,0
156,Boyolangu,ID,2022-07-28 19:33:26,-8.1181,111.8935,71.85,94,100,1.77,overcast clouds,0,0
157,Tuktoyaktuk,CA,2022-07-28 19:33:27,69.4541,-133.0374,44.6,93,100,10.36,light rain,0,0
158,Flin Flon,CA,2022-07-28 19:29:02,54.7682,-101.865,75.04,33,20,9.22,few clouds,0,0
159,Burayevo,RU,2022-07-28 19:33:27,55.8407,55.4083,56.98,81,0,5.35,clear sky,0,0
160,Thinadhoo,MV,2022-07-28 19:33:28,0.5333,72.9333,82.72,72,87,13.18,overcast clouds,0,0
161,Hasanabad,IR,2022-07-28 19:33:29,36.5465,61.0543,86.68,19,0,7.18,clear sky,0,0
