City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
631,Taloqan,AF,85.69,clear sky,36.7361,69.5345,Saraisang street
633,Cajimos,PH,83.57,heavy intensity rain,12.5946,122.2753,Tiamban Aqua Club Beach Resort
639,Morgan City,US,84.99,broken clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
640,Surt,LY,82.27,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
644,Teknaf,BD,80.46,overcast clouds,20.8624,92.3058,Forestry Guesthouse
646,Doha,QA,89.58,clear sky,25.2867,51.5333,Doha Marriott Hotel
649,Torrington,US,89.17,overcast clouds,41.8007,-73.1212,The Yankee Pedlar Inn
651,Warangal,IN,80.96,overcast clouds,18.0,79.5833,Capital O 66968 Haveli The Landmark
654,San Fernando,PH,80.33,overcast clouds,15.0286,120.6898,Maharlika Hostel
655,Haimen,CN,80.49,overcast clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
665,Pitimbu,BR,82.99,clear sky,-7.4706,-34.8086,Reserva do Abiaí
670,Descalvado,BR,83.28,clear sky,-21.9039,-47.6194,Hotel Descalvado
673,Maple Creek,CA,82.45,clear sky,49.9168,-109.4848,Willowbend Campground & Cabins
678,Pafos,CY,82.18,clear sky,34.7667,32.4167,Elysium Hotel
679,Kumluca,TR,84.13,clear sky,36.3703,30.2869,Akkol Apart
684,Kavaratti,IN,81.05,overcast clouds,10.5669,72.642,Green leaf
687,Porbandar,IN,80.92,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
693,Sulangan,PH,84.07,heavy intensity rain,11.1373,123.7228,Maia's Beach Resort
695,Nioki,CD,80.98,overcast clouds,-2.7167,17.6833,
700,Ko Samui,TH,82.9,few clouds,9.5357,99.9357,The Passage
704,Oneonta,US,84.16,moderate rain,42.4529,-75.0638,Hampton Inn Oneonta
705,Sarangani,PH,82.94,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
717,Massakory,TD,83.97,broken clouds,12.996,15.7293,
